form	pos	lemma
ende	CONJ(type=coor)	en
oec	ADV(type=reg)	ook
ute	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	uit
ebreusche	AA(degree=pos,position=prenom)	ebreus
tale	NOU-C(number=sg)	taal
tafel	NOU-C(number=sg)	tafel
gevoelen	VRB(finiteness=inf)	gevoelen
ioie	RES(type=oth)	ioie
in	ADP(type=pre)	in
hemelrike	NOU-C(number=sg)	hemelrijk
ende	CONJ(type=coor)	en
pine	NOU-C(number=sg)	pijn
in	ADP(type=pre)	in
der	PD(type=d-p,subtype=art,position=prenom)	de
hellen	NOU-C(number=sg)	hel
sy	PD(type=pers,position=free)	zij
ghemaect	VRB(finiteness=pastpart)	maken
elcx	PD(type=indef,position=free)	elks
daechs	NOU-C(number=sg)	dag
51	NUM(type=card,position=postnom,representation=dig)	51
welc	PD(type=w-p,position=free)	welk
es	VRB(finiteness=fin,tense=pres)	zijn
edelheit	NOU-C(number=sg)	edelheid
mensche	NOU-C(number=sg)	mens
in	ADP(type=pre)	in
hem	PD(type=pers,position=free)	hij
hebben	VRB(finiteness=inf)	hebben
mach	VRB(finiteness=fin,tense=pres)	mogen
78	NUM(type=card,position=postnom,representation=dig)	78
dwelke	PD(type=w-p,position=free)	dewelke
maect	VRB(finiteness=fin,tense=pres)	maken
mere	PD(type=indef,position=free)	meer
wijsheide	NOU-C(number=sg)	wijsheid
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
mensche	NOU-C(number=sg)	mens
soe	ADV(type=reg)	zo
coude	AA(degree=pos,position=prenom)	koud
spise	NOU-C(number=sg)	spijs
soe	ADV(type=reg)	zo
heete	AA(degree=pos,position=free)	heet
waer	ADV(type=pron)	waar
af	ADV(type=pron)	af
comen	VRB(finiteness=pastpart)	komen
zij	VRB(finiteness=fin,tense=pres)	zijn
102	NUM(type=card,position=postnom,representation=dig)	102
eest	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zijn+het
goet	AA(degree=pos,position=free)	goed
dat	CONJ(type=sub)	dat
men	PD(type=pers,position=free)	men
antwert	VRB(finiteness=fin,tense=pres)	antwoorden
den	PD(type=d-p,position=free)	de
ghenen	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
scalckelijc	ADV(type=reg)	schalkelijk
ende	CONJ(type=coor)	en
sottelijc	ADV(type=reg)	zottelijk
spreken	VRB(finiteness=fin,tense=pres)	spreken
waer	ADV(type=pron)	waar
af	ADV(type=pron)	af
compt	VRB(finiteness=fin,tense=pres)	komen
die	PD(type=d-p,subtype=art,position=prenom)	die
hagel	NOU-C(number=sg)	hagel
133	NUM(type=card,position=postnom,representation=dig)	133
mochte	VRB(finiteness=fin,tense=past)	mogen
iemen	PD(type=indef,position=free)	iemand
varen	VRB(finiteness=inf)	varen
met	ADP(type=pre)	met
goeden	AA(degree=pos,position=prenom)	goed
winde	NOU-C(number=sg)	winde
inde	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
zee	NOU-C(number=sg)	zee
soe	ADV(type=reg)	zo
lange	ADV(type=reg)	lang
recht	ADV(type=reg)	recht
voert	ADV(type=reg)	voort
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
quame	VRB(finiteness=fin,tense=past)	komen
daert	ADV(type=reg)+PD(type=pers,position=free)	daar+het
tfirmament	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	het+firmament
keert	VRB(finiteness=fin,tense=pres)	keren
zande	NOU-C(number=sg)	zand
ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
dropele	NOU-C(number=sg)	druppel
vander	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
zee	NOU-C(number=sg)	zee
160	NUM(type=card,position=postnom,representation=dig)	160
welc	PD(type=w-p,position=free)	welk
es	VRB(finiteness=fin,tense=pres)	zijn
de	PD(type=d-p,subtype=art,position=prenom)	de
meeste	AA(degree=sup,position=prenom)	meest
bliscap	NOU-C(number=sg)	blijdschap
vander	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
werelt	NOU-C(number=sg)	wereld
haesten	VRB(finiteness=inf)	haasten
ofte	CONJ(type=coor)	ofte
niet	ADV(type=reg)	niet
haesten	VRB(finiteness=inf)	haasten
188	NUM(type=card,position=postnom,representation=dig)	188
welc	PD(type=w-p,position=free)	welk
es	VRB(finiteness=fin,tense=pres)	zijn
die	PD(type=d-p,subtype=art,position=prenom)	die
donckerste	AA(degree=sup,position=prenom)	donker
ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
bedecste	AA(degree=sup,position=prenom)	bedek
dinc	NOU-C(number=sg)	ding
diemen	PD(type=d-p,position=free)+PD(type=pers,position=free)	die+men
vint	VRB(finiteness=fin,tense=pres)	vinden
enege	PD(type=indef,subtype=oth,position=prenom)	enig
mere	AA(degree=comp,position=prenom)	meer
gracie	NOU-C(number=sg)	gratie
in	ADP(type=pre)	in
dander	PD(type=d-p,subtype=art,position=prenom)+NUM(type=ord,position=prenom,representation=let)	de+ander
werelt	NOU-C(number=sg)	wereld
welc	PD(type=w-p,position=free)	welk
es	VRB(finiteness=fin,tense=pres)	zijn
dan	CONJ(type=sub)	dan
dbeste	PD(type=d-p,subtype=art,position=prenom)+AA(degree=sup,position=prenom)	dat+best
woert	NOU-C(number=sg)	woord
dbeste	PD(type=d-p,subtype=art,position=prenom)+AA(degree=sup,position=prenom)	dat+best
cruit	NOU-C(number=sg)	kruid
